Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
July,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",1468.00,2023-08-19
July,2020,"GRAND TOTAL",17680.00,2023-08-19
August,2020,"IOCL-KOYALI, GUJARAT",834.00,2023-08-19
August,2020,"IOCL-PANIPAT, HARYANA",977.00,2023-08-19
August,2020,"IOCL-DIGBOI,ASSAM",56.00,2023-08-19
August,2020,"IOCL-BONGAIGAON,ASSAM",206.00,2023-08-19
August,2020,"ONGC TOTAL",913.00,2023-08-19
September,2020,"IOCL-KOYALI, GUJARAT",899.00,2023-08-19
September,2020,"IOCL-GUWAHATI,ASSAM",75.00,2023-08-19
September,2020,"IOCL-DIGBOI,ASSAM",46.00,2023-08-19
September,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
September,2020,"MRPL-MANGALORE,KARNATAKA",813.00,2023-08-19
September,2020,"HPCL-MUMBAI,MAHARASHTRA",670.00,2023-08-19
September,2020,HPCL-TOTAL,2414.00,2023-08-19
September,2020,"RIL,JAMNAGAR,GUJARAT",2779.00,2023-08-19
September,2020,"GRAND TOTAL",17707.00,2023-08-19
October,2020,"IOCL TOTAL",5662.00,2023-08-19
November,2020,"IOCL-MATHURA, UTTAR PRADESH",796.00,2023-08-19
November,2020,"NRL-NUMALIGARH, ASSAM",230.00,2023-08-19
November,2020,"MRPL-MANGALORE,KARNATAKA",1011.00,2023-08-19
November,2020,HPCL-TOTAL,2457.00,2023-08-19
November,2020,"RIL,JAMNAGAR,GUJARAT",2871.00,2023-08-19
November,2020,"RIL TOTAL",5482.00,2023-08-19
December,2020,"IOCL-PANIPAT, HARYANA",1359.00,2023-08-19
December,2020,"IOCL-BONGAIGAON,ASSAM",204.00,2023-08-19
December,2020,"BPCL-KOCHI, KERALA",1329.00,2023-08-19
December,2020,BORL-BINA,625.00,2023-08-19
December,2020,BPCL-TOTAL,3414.00,2023-08-19
December,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1027.00,2023-08-19
December,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2691.00,2023-08-19
January,2021,"ONGC TOTAL",1427.00,2023-08-19
January,2021,"HPCL-MUMBAI,MAHARASHTRA",639.00,2023-08-19
January,2021,"HPCL-VISAKH,ANDHRA PRADESH",800.00,2023-08-19
January,2021,"HMEL-GGSR, BATHINDA, PUNJAB",801.00,2023-08-19
January,2021,HPCL-TOTAL,2240.00,2023-08-19
February,2021,"IOCL-GUWAHATI,ASSAM",80.00,2023-08-19
February,2021,"IOCL-DIGBOI,ASSAM",22.00,2023-08-19
February,2021,"IOCL TOTAL",5387.00,2023-08-19
February,2021,CPCL-TOTAL,758.00,2023-08-19
February,2021,"BPCL-MUMBAI, MAHARASHTRA",1264.00,2023-08-19
February,2021,"ONGC TOTAL",1305.00,2023-08-19
February,2021,HPCL-TOTAL,1392.00,2023-08-19
March,2021,"IOCL-BARAUNI,BIHAR",569.00,2023-08-19
March,2021,"IOCL-DIGBOI,ASSAM",23.00,2023-08-19
March,2021,"BPCL-MUMBAI, MAHARASHTRA",1376.00,2023-08-19
March,2021,BORL-BINA,602.00,2023-08-19
March,2021,"ONGC TOTAL",1369.00,2023-08-19
